site_no,site_export_id,location_type,huc2,huc2_region_name,station_nm,dec_lat_va,dec_long_va,median_00060_Mean,n_flow_obs,median_no3no2,n_combined_days,mutual_information,n_paired_days
5427927,103,Midwest,07,Upper Mississippi Region,"DORN (SPRING) CREEK @ CT HIGHWAY Q NR WAUNAKEE, WI",43.14505556,-89.4718611,5.37,9994,9.193153588067108,4848,0.5198897038669972,4848.0
5427930,104,Midwest,07,Upper Mississippi Region,"DORN (SPRING) CREEK AT CT HIGHWAY M NR WAUNAKEE,WI",43.14027778,-89.4423056,7.655,9956,6.71316386731246,4836,0.4016850700583259,4836.0
5427948,105,Midwest,07,Upper Mississippi Region,"PHEASANT BRANCH AT MIDDLETON, WI",43.1033333,-89.5116667,4.63,13226,1.116740303207521,1918,0.49851969434520127,1918.0
5429369,106,Midwest,07,Upper Mississippi Region,"SWAN CREEK AT LALOR ROAD NEAR FITCHBURG, WI",42.99951944,-89.3615417,2.23,3392,4.948938949391975,1230,0.9635036546435214,1230.0
5430175,107,Midwest,07,Upper Mississippi Region,"YAHARA RIVER NEAR FULTON, WI",42.82638889,-89.1719444,507.0,13198,3.27101100216417,4291,0.8373626340803737,4291.0
5446500,108,Midwest,07,Upper Mississippi Region,"ROCK RIVER NEAR JOSLIN, IL",41.5561111,-90.1852778,7980.0,6608,3.6,2568,0.3377390283478814,2568.0
5447500,109,Midwest,07,Upper Mississippi Region,"GREEN RIVER NEAR GENESEO, IL",41.4889333,-90.1580083,637.0,6583,3.6,2594,0.9619511935855511,2594.0
5451210,110,Midwest,07,Upper Mississippi Region,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,79.8,6611,7.545,370,1.4108163989771554,370.0
5455100,111,Midwest,07,Upper Mississippi Region,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,79.6,13154,5.319279876190937,773,1.094637957391198,773.0
5457000,112,Midwest,07,Upper Mississippi Region,"CEDAR RIVER NEAR AUSTIN, MN",43.63757,-92.974797,166.0,13230,8.500780321816219,591,0.24855023838479484,591.0
5464420,113,Midwest,07,Upper Mississippi Region,"Cedar River at Blairs Ferry Road at Palo, IA",42.06916389,-91.7851806,3900.0,12240,6.02800348417701,3313,0.6613469412954833,3299.0
5464475,114,Midwest,07,Upper Mississippi Region,"Morgan Creek near Covington, IA",41.98941597,-91.7595985,6.27,4656,4.840369972596201,1904,0.6717680809067899,1866.0
5464500,115,Midwest,07,Upper Mississippi Region,"Cedar River at Cedar Rapids, IA",41.97194549,-91.6671239,3880.0,13264,6.0067644410378165,689,0.9113440432759154,689.0
5465500,116,Midwest,07,Upper Mississippi Region,"Iowa River at Wapello, IA",41.1780861,-91.1820917,8120.0,13148,4.73,4278,0.5633749138940205,4278.0
5474500,117,Midwest,07,Upper Mississippi Region,"Mississippi River at Keokuk, IA",40.39365535,-91.374318,79300.0,6574,2.26,997,0.7992832713724947,949.0
5480603,118,Midwest,07,Upper Mississippi Region,"Prairie Creek at Otho, IA (S3)",42.41088889,-94.1413056,5.52,471,9.58,271,0.5796561583078428,271.0
5480986,119,Midwest,07,Upper Mississippi Region,"Lyons Creek near Webster City, IA (L3)",42.49325,-93.7668056,1.585,264,33.349999999999994,106,0.5356958247306456,106.0
5481000,120,Midwest,07,Upper Mississippi Region,"Boone River near Webster City, IA",42.4319722,-93.8059444,226.0,13238,11.278693699462073,1247,0.8441037834630647,1247.0
5482000,121,Midwest,07,Upper Mississippi Region,"Des Moines River at 2nd Avenue at Des Moines, IA",41.61194444,-93.6197222,2460.0,13116,5.5,4188,0.8054556777121054,4117.0
5482300,122,Midwest,07,Upper Mississippi Region,"North Raccoon River near Sac City, IA",42.35455556,-94.9910278,193.0,13182,9.793127453750564,5795,0.3235671386940133,5754.0
5482500,123,Midwest,07,Upper Mississippi Region,"North Raccoon River near Jefferson, IA",41.9878611,-94.3770833,482.0,13218,8.359908394376175,5178,0.5715522630624914,5155.0
5483600,124,Midwest,07,Upper Mississippi Region,"Middle Raccoon River at Panora, IA",41.68741667,-94.3710556,151.0,6607,6.157426399688553,1404,0.7895752358487473,1404.0
5484000,125,Midwest,07,Upper Mississippi Region,"South Raccoon River at Redfield, IA",41.59041667,-94.1511667,381.5,13176,4.5,3499,0.7214589076788274,3455.0
5484500,126,Midwest,07,Upper Mississippi Region,"Raccoon River at Van Meter, IA",41.53402778,-93.9497778,1110.0,13176,6.126887781401505,4712,0.6910968088086431,4668.0
5515500,127,Midwest,07,Upper Mississippi Region,"KANKAKEE RIVER AT DAVIS, IN",41.38963889,-86.7061667,556.0,6621,1.47,4248,0.3037826627560829,4237.0
5517500,128,Midwest,07,Upper Mississippi Region,"KANKAKEE RIVER AT DUNNS BRIDGE, IN",41.22001988,-86.96832769,1260.0,6612,1.98,2873,0.5748491899332393,2873.0
5518000,129,Midwest,07,Upper Mississippi Region,"KANKAKEE RIVER AT SHELBY, IN",41.1828134,-87.3403096,1740.0,6599,1.48,3500,0.6464823369231096,3498.0
5524500,130,Midwest,07,Upper Mississippi Region,"IROQUOIS RIVER NEAR FORESMAN, IN",40.8705788,-87.3066723,253.0,6614,4.9,3732,0.7618756703236351,3730.0
5536356,131,Midwest,04,Great Lakes Region,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",41.6186111,-87.4998333,32.6,1923,5.9,1443,0.14583781164590048,1442.0
5537980,132,Midwest,07,Upper Mississippi Region,"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL",41.5364722,-88.0836944,3060.0,13262,5.078202094362615,2959,0.35007860865972873,2958.0
5554300,133,Midwest,07,Upper Mississippi Region,"INDIAN CREEK NEAR FAIRBURY, IL",40.72277778,-88.53,22.3,7724,6.84,2861,1.0723096608587066,2813.0
5557500,134,Midwest,07,Upper Mississippi Region,"EAST BUREAU CREEK NEAR BUREAU, IL",41.3347222,-89.3819444,6.7,1706,2.31,195,1.2081975059043937,195.0
5567500,135,Midwest,07,Upper Mississippi Region,"MACKINAW RIVER NEAR CONGERVILLE, IL",40.6235,-89.2416667,305.0,6601,4.0,972,0.9969274469707057,972.0
5576195,136,Midwest,07,Upper Mississippi Region,"SUGAR CREEK NEAR CHATHAM, IL",39.659075,-89.6589361,21.45,1046,4.0,2452,0.7912843606360211,918.0
5579610,137,Midwest,07,Upper Mississippi Region,"KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON, IL",40.46777778,-88.86388889,2.91,5660,11.3,782,1.372888594521625,782.0
5579620,138,Midwest,07,Upper Mississippi Region,"KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON, IL",40.47277778,-88.8797222,1.85,5662,6.855977827306461,1056,0.8632562549887517,1056.0
5579630,139,Midwest,07,Upper Mississippi Region,"KICKAPOO CREEK NEAR BLOOMINGTON, IL",40.4583333,-88.8775,6.98,4689,4.87,1235,1.282882192240625,1235.0
5595000,140,Midwest,07,Upper Mississippi Region,"KASKASKIA RIVER AT NEW ATHENS, IL",38.3197222,-89.8883333,3760.0,12244,0.802035482389085,3663,0.3258651507663748,3617.0
5599490,141,Midwest,07,Upper Mississippi Region,"BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",37.7583333,-89.3277778,1170.0,6619,0.6,3293,0.10779293806783663,3281.0
6466500,142,Midwest,10,Missouri Region,"Bazile Creek near Niobrara, Nebr.",42.73210833,-97.92254722,101.0,6551,6.69,1186,0.4524544273143314,1186.0
6476000,143,Midwest,10,Missouri Region,"JAMES RIVER AT HURON,SD",44.36359475,-98.199257,499.0,6537,0.5,1025,0.5373269336301476,1025.0
6478513,144,Midwest,10,Missouri Region,"JAMES RIVER NEAR YANKTON, SD",42.9958297,-97.3697806,858.5,5898,0.7,929,0.5885717626239737,929.0
6480000,145,Midwest,10,Missouri Region,"BIG SIOUX RIVER NEAR BROOKINGS,SD",44.1802473,-96.749496,254.0,6537,1.2,312,0.5483059641713317,312.0
6481000,146,Midwest,10,Missouri Region,"BIG SIOUX RIVER NEAR DELL RAPIDS,SD",43.79044595,-96.7456623,359.0,6537,1.3,1085,0.7181638814160287,1085.0
